Video Title,Video ID,Published Date,Video Age (Days),Views,Likes,Comments,(Likes + Comments) / Views,Daily Views,Daily Likes
Americans Try Thai Sweets,ULX9w7krq74,2015-02-12T21:38:45Z,3612,3184416,35238,2060,0.0117,881.62,9.76
How One Community Is Turning A Crisis Into An Opportunity // Presented By Hyundai,A6aM6_tZa9k,2020-11-12T00:00:03Z,1513,1058064,976,126,0.001,699.32,0.65
Americans Try Midwest Food For The First Time,yZD65cYvyYY,2014-11-06T23:04:26Z,3710,9552501,59090,23521,0.0086,2574.8,15.93
7 Ways To Make College More Entertaining // Presented By BuzzFeed & XFINITY,Jg8Zn0MSSrs,2015-08-19T18:03:01Z,3424,1253383,15436,684,0.0129,366.06,4.51
The Try Guys Try Distracted Driving // Presented By Kia Forte,2atx1Jh6YP0,2016-11-04T16:00:30Z,2981,18994027,258926,11142,0.0142,6371.7,86.86
The Try Guys Danish Food Taste Test,e3rDQJAr6_o,2016-08-27T18:00:03Z,3050,8618268,136734,10413,0.0171,2825.66,44.83
Sending The First Tweet // Colleagues,VmVBjxNNpqU,2015-06-21T17:00:01Z,3483,475476,9968,231,0.0215,136.51,2.86
Private Investigator Guesses Who's Lying: Near-Death Experiences,iL3-oo_wSyg,2019-08-24T18:00:05Z,1958,1479020,30379,1161,0.0213,755.37,15.52
Jack Black Tries Halloween Pinterest Hacks With Us,GM6_ZJg_LxM,2015-10-04T17:00:00Z,3378,2273921,59603,2087,0.0271,673.16,17.64
What Californians Are Doing To End The Drought,rKVjPNlmRwo,2015-04-17T19:27:13Z,3548,723424,17614,1475,0.0264,203.9,4.96
How To Cook A Thick Burger Vs. A Thin Burger,KC7xsoPOa10,2020-08-07T18:00:03Z,1609,130659,4717,258,0.0381,81.21,2.93
$10 Game Day Food Vs. $456 Game Day Food • Super Bowl 2018,se9E-qvPJSg,2018-02-01T19:00:03Z,2527,16115725,189797,9209,0.0123,6377.41,75.11
Couples Imitate Each Other: Food Edition // Presented By BuzzFeed & Snickers,i9jRvXcJbyM,2017-10-17T00:21:33Z,2635,736368,3975,180,0.0056,279.46,1.51
The Try Guys Contact Deceased Family Members Featuring The Hollywood Medium,lADBzq_CFwY,2017-08-19T15:00:04Z,2693,10899507,292784,18910,0.0286,4047.35,108.72
Best Friends Cook Chinese And Jewish Food For Each Other,Ih3pRKgGv5U,2018-04-25T21:00:07Z,2444,540024,13984,792,0.0274,220.96,5.72
'90s Stars Re-Create Childhood Photos // Presented by BuzzFeed & Pop TV's Hollywood Darlings,LmnE6KTo9J0,2017-04-07T16:02:52Z,2827,524517,4969,163,0.0098,185.54,1.76
Ode To Basketball,24Ww7Z-TI-o,2014-12-11T01:59:28Z,3676,309383,4549,234,0.0155,84.16,1.24
South Asians Learn To Cook Biryani With Their Moms,cTTBnx4hBdI,2018-01-13T19:00:45Z,2546,760223,15257,1268,0.0217,298.6,5.99
The Try Guys Ocean Survival Food Taste Test // Sponsored by The Shallows,pH2gQlAItuA,2016-06-16T22:00:02Z,3122,9384587,122396,5793,0.0137,3005.95,39.2
The Cast of Abbott Elementary Takes An Elementary School Pop Quiz,noAOAXzOuPA,2021-12-31T16:00:27Z,1098,862349,34475,453,0.0405,785.38,31.4
$16 Steak Vs. $150 Steak • Australia,53ivEr2Sd44,2017-09-24T15:00:26Z,2657,15826495,182427,11119,0.0122,5956.53,68.66
People Try The “World’s Hottest” Meat Pie,1CSX1UW2oJA,2016-05-05T17:30:01Z,3164,1093681,16897,1370,0.0167,345.66,5.34
$13 Lasagna Vs. $60 Lasagna,PbQyevYlLAY,2019-08-11T15:00:05Z,1971,11327401,164709,7023,0.0152,5747.03,83.57
This Sew Shop Is Giving Clothes A Second Life // Presented by Hyundai,XnBVTTknTG0,2020-10-12T21:00:10Z,1543,199059,720,53,0.0039,129.01,0.47
"Can You Guess Who Is Drunk, High, Or Sober?",18Cw6b7b2dU,2019-05-31T18:00:00Z,2043,527529,11620,271,0.0225,258.21,5.69
Americans & Australians Swap Snacks,sFNu5cuu9_U,2018-10-23T18:00:06Z,2263,7584984,81031,13082,0.0124,3351.74,35.81
People Try The Craziest Pickled Things,VqSa7SzWJS0,2015-08-30T18:00:00Z,3413,1058391,15643,858,0.0156,310.11,4.58
Americans Try International Food Combinations,7b9oCIpcgG4,2015-10-01T18:00:00Z,3381,7754482,70193,9676,0.0103,2293.55,20.76
Harry Potter Fans Try Harry Potter Potions,p2-W13cq9k0,2015-03-20T01:52:55Z,3577,4955540,91023,5028,0.0194,1385.39,25.45
Teachers Tell Their Worst Horror Stories,TWJXMgzeWaY,2019-09-22T21:00:02Z,1929,997466,20988,649,0.0217,517.09,10.88
Dairy-Free Ice Cream Taste Test,NdugRV5jcRI,2015-08-24T19:00:00Z,3419,1855284,22502,2134,0.0133,542.64,6.58
Which Celebrity Makes The Best Pizza? • Celebrity Recipe Royale,02oPC6o2FaY,2021-02-28T16:00:00Z,1404,818417,18414,658,0.0233,582.92,13.12
This Cat Makes No Trash,O8PTqGtTV0M,2019-03-20T18:00:01Z,2115,193034,7240,440,0.0398,91.27,3.42
People Try Taiwanese Pastries,tXtI3DLDmpg,2016-08-19T01:00:00Z,3059,1207179,23028,1850,0.0206,394.63,7.53
$3 Chicken Vs. $62 Chicken • Taiwan,JCHttVEG_Lk,2019-10-27T15:00:04Z,1894,6522553,102512,3950,0.0163,3443.8,54.12
Transforming Drive-Thru Food Into Fine Dining // Presented by BuzzFeed & The All-New Honda Civic,qmcOvb6hRcA,2016-02-26T19:01:01Z,3233,903242,16492,729,0.0191,279.38,5.1
Which Celebrity Has The Best Mac 'N' Cheese Recipe?,dunDEob251s,2018-03-26T18:00:34Z,2474,18820389,243120,17038,0.0138,7607.27,98.27
How To Impress Literally Everyone You Meet,V-mR66UW8NI,2015-05-22T00:54:47Z,3514,2352420,45067,885,0.0195,669.44,12.82
The Ultimate Slushie Taste Test,IP_Dkyr1Ccs,2015-08-11T01:30:00Z,3433,3193903,35940,2707,0.0121,930.35,10.47
People Try Awesomely Bad Haircuts For the First Time,NYBfvK9GNMA,2015-06-15T18:00:39Z,3489,2818439,38062,1146,0.0139,807.81,10.91
Hong Kong Desserts Taste Test,pEyCOWfR-uY,2015-10-01T01:00:00Z,3382,3347531,44405,2876,0.0141,989.81,13.13
Americans Try Japanese Oreos,HQqwGNZElAA,2015-02-16T21:21:11Z,3608,6769303,61197,3292,0.0095,1876.19,16.96
Climate Scientist Reviews Global Warming Movies,47fqf8_J2HQ,2018-12-16T22:00:00Z,2209,231676,6671,363,0.0304,104.88,3.02
$10 Noodles Vs. $94 Noodles,FkIQMZaBTBo,2019-12-15T16:00:00Z,1845,7612735,114359,7949,0.0161,4126.14,61.98
We Turned A Chocolate Bar Back Into A Cacao Pod,bgymiPWftIM,2021-03-05T19:15:00Z,1399,231680,8157,474,0.0373,165.6,5.83
Regular Guys Try Professional Modeling,3WfRFxsNZFc,2017-07-13T18:00:31Z,2730,389108,10677,472,0.0287,142.53,3.91
Americans Taste Test Mexican Beer,pWH_VZbzzxc,2015-03-03T02:04:22Z,3594,4663755,49195,6038,0.0118,1297.65,13.69
Couples Try To Build A Desk Without Instructions,xQcdCpWBeKE,2017-08-02T18:00:30Z,2710,266361,5131,322,0.0205,98.29,1.89
Can You Have A Dead Man's Child?,9qsoLcrWPes,2019-03-12T21:00:00Z,2123,438282,12710,766,0.0307,206.44,5.99
If Your Parents Were Honest About You Going To College // Presented By Discover Student Loans,ZrklXH1gOvQ,2016-05-24T22:00:04Z,3145,1242960,17466,551,0.0145,395.22,5.55
$3.50 Fish Tacos Vs. $30 Fish Tacos,Qlswv7eLykc,2019-07-21T15:00:04Z,1992,7094793,111302,4190,0.0163,3561.64,55.87
If Dating Were Like “The Bachelor”,q6WGoVv5Iw4,2016-03-14T17:00:02Z,3216,654279,14858,370,0.0233,203.44,4.62
Blind Until 36 & Seeing Myself For The First Time | This Is That Story,6fCRkXg9YwQ,2022-01-11T19:00:04Z,1087,1521096,67887,2466,0.0463,1399.35,62.45
We Surprised Firefighters With A Spa Day // Presented By 9-1-1: Lone Star,OePoo8rGrj8,2020-01-14T00:00:03Z,1816,365128,11898,416,0.0337,201.06,6.55
Is Being Average Unhealthy?,LKGMgtt-OK4,2016-04-16T02:23:59Z,3184,1189482,23730,1999,0.0216,373.58,7.45
If Meeting The Parents Were Honest,-8aQ9uELUp4,2016-05-26T21:00:00Z,3143,3162096,59938,2288,0.0197,1006.08,19.07
Did You Know You Could Bake Your Face?,c7a2EUynTjM,2015-08-27T22:00:00Z,3416,4141742,54234,2003,0.0136,1212.45,15.88
Can Australians Handle Buckfast?,35VdrkOEqnU,2015-11-28T01:00:00Z,3324,703103,9865,950,0.0154,211.52,2.97
When New Year's Resolutions Go Too Far,lNTGKoZkzys,2018-01-10T22:00:10Z,2549,252621,8195,296,0.0336,99.11,3.21
The Dark Side Of Otters,H15B7DFEnw0,2020-08-29T15:00:09Z,1587,589960,10741,1494,0.0207,371.75,6.77
Bobby Berk Gives Home Decoration Advice,Xc0-vkh0-Us,2018-08-08T18:00:26Z,2339,205865,5124,166,0.0257,88.01,2.19
Americans Taste Test Japanese Snacks (Part 2),mSkJbh_M8pY,2014-07-17T22:32:18Z,3822,8465533,47440,4378,0.0061,2214.95,12.41
Is Love Actually The Best Christmas Movie Ever? • Debatable,u2jExNeRKu0,2015-12-25T18:00:04Z,3296,546833,9940,1014,0.02,165.91,3.02
$13 Korean Soup Vs. $88 Korean Soup,YqFen-4pUvw,2019-07-28T15:00:05Z,1985,6121473,98156,3977,0.0167,3083.87,49.45
Binging With Babish Cooks Bob's Burgers For Fans,PVr1BbsOwmQ,2017-12-27T19:00:17Z,2563,1265046,27187,1180,0.0224,493.58,10.61
Badass Tips For Surviving The Holidays,yyE2yDxogIA,2014-12-16T00:32:05Z,3671,1086485,9018,267,0.0085,295.96,2.46
Is Your Relationship Healthy?,Sa_4paeRcFk,2017-06-22T21:00:38Z,2751,504286,11093,472,0.0229,183.31,4.03
"Biophysicist Explains The Science Behind ""Rick and Morty""",2Gwj0kh8VgA,2019-01-08T19:00:00Z,2186,300389,6573,248,0.0227,137.41,3.01
How Original Are Your Thoughts?,0ORezzr_6lU,2015-07-17T23:30:01Z,3457,1914192,38694,2438,0.0215,553.71,11.19
Extreme Asian Food Challenge • Try Guys Feast Mode,XEqknalf6OQ,2016-03-27T14:00:02Z,3203,24959030,288794,14499,0.0122,7792.39,90.16
Which Celebrity Makes The Best Fried Rice? • Celebrity Recipe Royale,8G6sdBG0U2U,2021-03-07T16:00:02Z,1397,1709460,39576,3542,0.0252,1223.66,28.33
Regular People Try Pinterest Nail Art,m_OYeUGm_Jg,2015-03-24T00:22:45Z,3573,9089460,88328,5149,0.0103,2543.93,24.72
‘90s Kids Try Lunchables As Adults,3dTPuKyJjxw,2015-03-26T22:04:14Z,3570,6574505,48070,3881,0.0079,1841.6,13.46
"4 Chefs, 4 Mango Dishes",NCD3adI9QhU,2016-06-04T21:00:01Z,3134,1605508,30711,1468,0.02,512.29,9.8
$2 Hot Dog Vs. $169 Hot Dog,6R8n6FbXVc8,2016-11-19T02:03:35Z,2967,34088497,350756,24032,0.011,11489.21,118.22
$3 Fries Vs. $100 Fries,iN8zmmCRqUA,2018-05-20T15:00:24Z,2419,30813459,361948,26663,0.0126,12738.1,149.63
Melted Candy Taste Test,Hv3Fk999EnY,2016-01-24T23:00:00Z,3266,3605752,41200,1313,0.0118,1104.03,12.61
The 9 Types Of Coffee Drinkers,ckIGS3TMLSY,2017-04-18T18:00:04Z,2816,4019390,57120,6039,0.0157,1427.34,20.28
How We Started Dating: Both Sides Of The Story,GjQyDtioBLo,2019-05-22T21:00:00Z,2052,181673,3802,172,0.0219,88.53,1.85
People Try Baking Cookies Without A Recipe,HLEgah9H74Q,2016-06-05T22:00:00Z,3133,2022499,33555,1648,0.0174,645.55,10.71
Oreo Cricket Milkshake Taste Test,AkNA6XOmIhM,2015-07-22T19:30:00Z,3452,1947791,28671,1096,0.0153,564.25,8.31
The Try Guys Try Ballet,6c5XDMczC3U,2017-07-22T15:00:41Z,2721,16557330,439626,42344,0.0291,6085.02,161.57
I Tried To Make The Most Jiggly Cheesecake,X0I-KJnf2HE,2017-08-26T18:00:29Z,2686,11961497,176666,6723,0.0153,4453.28,65.77
We Tried Korean Purple Desserts,dUwxkAY-PHk,2017-09-11T18:00:06Z,2670,952563,21073,1065,0.0232,356.77,7.89
$13 BBQ Ribs Vs. $256 BBQ Ribs • Korea,6naWCw5LSPc,2017-05-14T15:00:30Z,2790,19823588,261934,15450,0.014,7105.23,93.88
Hanukkah Explained By Christians,jAE6IV4yF7E,2014-12-12T19:42:30Z,3674,1754844,19481,2787,0.0127,477.64,5.3
NASA Scientist Reviews “The Martian”,GLYzYf0k9yQ,2015-10-06T18:07:03Z,3376,1081305,20403,788,0.0196,320.29,6.04
$5 Pie Vs. $250 Pie,tqPub3p3k5E,2018-04-15T15:00:49Z,2454,13632311,187650,12877,0.0147,5555.14,76.47
$3.50 Soup Vs. $29 Soup • Taiwan,xscOXwsaGLQ,2019-10-20T15:00:08Z,1901,6178299,97276,4185,0.0164,3250.03,51.17
Couples Reveal How They Lost Their Wedding Ring // Presented By BuzzFeed & QALO,_vrtDb9J8JA,2017-06-05T16:24:45Z,2768,880249,6858,241,0.0081,318.01,2.48
Demi Lovato and Nick Jonas Let Twitter Make Their Decisions,wHl5g2dyyIA,2016-06-30T19:00:02Z,3108,3661279,111770,4008,0.0316,1178.02,35.96
The Scariest Halloween Candy Taste Test,2GrE_QOjRbE,2015-10-25T20:00:01Z,3357,2554810,30065,1265,0.0123,761.04,8.96
People Try The Lady Gaga Starbucks Drinks,4X--O5Y1Wuc,2017-07-07T21:00:48Z,2736,1272713,19278,1013,0.0159,465.17,7.05
Men Try Liquid Eyeliner,8mM9k91ieFY,2015-08-09T16:00:00Z,3434,3851749,56708,2418,0.0154,1121.65,16.51
Are You Smarter Than Will Ferrell And Amy Poehler? // Presented By BuzzFeed & The House,7XHXmQbGEB8,2017-06-16T17:43:23Z,2757,558095,5614,292,0.0106,202.43,2.04
Which Celebrity Has The Best Taco Recipe?,FHqkTrALLzQ,2020-09-27T15:00:02Z,1558,1382444,26390,1135,0.0199,887.32,16.94
People Try Dinuguan For The First Time,ORc1o7IC7qc,2016-02-16T22:30:00Z,3243,3906772,55622,5873,0.0157,1204.68,17.15
What Girls Think Of Boy Names,bQw7FT2BDkc,2014-12-16T02:51:10Z,3671,5413641,60465,11896,0.0134,1474.7,16.47
Preschool Teachers Share Darndest Things Kids Have Said,AcPc5xKpdOQ,2019-12-05T22:00:00Z,1855,775910,17366,824,0.0234,418.28,9.36
American & Scottish People Swap Snacks,uyGuOK2Yl1Y,2019-06-17T18:57:58Z,2026,2440300,35191,3885,0.016,1204.49,17.37
Cake Vs. Pie • Debatable,bmyv70qoUfg,2015-08-20T01:00:00Z,3424,2886768,45923,18692,0.0224,843.1,13.41
$5 Fried Chicken Sandwich Vs. $20 Fried Chicken Sandwich,xj-6hC5GFfI,2019-12-22T16:00:14Z,1838,11681963,175406,7737,0.0157,6355.8,95.43
Professional Chef Tries The 7-Eleven Cooking Challenge,4p_zr4NdVyE,2019-09-28T15:00:00Z,1923,1905641,32132,922,0.0173,990.97,16.71
Italian Chef Reveals Secret Family Recipe,KULBBvy5GQs,2016-02-06T23:00:00Z,3253,399273,12709,799,0.0338,122.74,3.91
Was Eleanor Roosevelt Bisexual?,Hcavn7vhYnU,2018-01-28T16:00:32Z,2531,605606,25584,1859,0.0453,239.28,10.11
Which Celebrity Makes The Best Banana Bread? • Celebrity Recipe Royale,PV_xYVL4iWg,2021-03-21T18:00:12Z,1383,294223,6772,400,0.0244,212.74,4.9
People Try Gourmet Vegan Food,UtNkjdeDMSQ,2017-10-02T00:00:50Z,2650,849856,19018,1569,0.0242,320.7,7.18
$4 Rice Vs. $52 Rice,fYVouIyOXC0,2020-08-23T15:00:11Z,1593,5637393,114085,5490,0.0212,3538.85,71.62
People Guess Cheap Vs. Expensive Steaks,5vQr3vYNiZo,2017-03-16T18:00:08Z,2849,2282438,26058,1168,0.0119,801.14,9.15
People Guess Cheap Vs. Expensive Water,RtCiuZtOttw,2019-06-13T18:00:02Z,2030,281632,5793,705,0.0231,138.73,2.85
A Son With Autism Gets A Home Makeover,4AL5I19peaA,2018-06-23T15:00:10Z,2385,1175880,34771,2046,0.0313,493.03,14.58
Cotton Candy Grapes Taste Test,xUGGY9DpKqQ,2015-08-12T00:00:00Z,3432,4344237,66045,3162,0.0159,1265.8,19.24
I Went To A Real Life Dream World,9z_eoBC6G7M,2018-04-03T21:00:19Z,2466,826427,33199,1529,0.042,335.13,13.46
Non-Sneakerheads Guess Sneaker Prices,wTggLci-QDY,2019-12-01T16:00:11Z,1859,968615,25159,2633,0.0287,521.04,13.53
Dialect Coach Guesses Who's Faking The New York Accent Out Of A Lineup,f1pV57XlmEM,2019-12-16T19:00:08Z,1844,503444,9835,1207,0.0219,273.02,5.33
What It’s Like Having A Trans Friend,z8dKjgHmpl8,2016-06-26T23:00:00Z,3112,1038663,32861,2622,0.0342,333.76,10.56
The Try Guys Try Therapy,ystGdduzG64,2015-12-13T15:00:03Z,3308,10129840,200695,8085,0.0206,3062.22,60.67
Costco Liquor Vs. Brand-Name Liquor Blind Taste Test,oei8K2TYg9s,2015-05-08T21:59:09Z,3527,6414292,49343,1732,0.008,1818.63,13.99
People Try Bizarre Food Combinations (Commenter Edition),H8q52W9k4N8,2015-09-20T00:00:00Z,3393,6888991,63635,16910,0.0117,2030.35,18.75
"$18 Wine Vs. $1,000 Wine",ZsJSW21oXE0,2017-09-17T15:00:39Z,2664,8268364,108703,5677,0.0138,3103.74,40.8
Couples Therapist Reviews Romantic Comedies,RpOYitPy02Q,2019-08-30T15:00:03Z,1952,1237977,23870,815,0.0199,634.21,12.23
A Chef Tries The Japanese-Dollar-Store Cooking Challenge,DC_HWIlLoBw,2019-04-21T18:00:02Z,2083,3490645,82866,2159,0.0244,1675.78,39.78
Nurses Play Never Have I Ever,uf8_UaJGbbA,2019-08-10T15:00:21Z,1972,2501983,59388,1902,0.0245,1268.75,30.12
Harry Potter Fans Try Homemade Honeydukes Sweets,cg91k0bJsSo,2015-09-25T18:30:01Z,3387,2155279,34099,1335,0.0164,636.34,10.07
Americans Try Bizarre Russian Foods For The First Time,YvGDafHwVjo,2015-05-12T21:58:40Z,3523,8444446,56366,7774,0.0076,2396.95,16.0
New Yorkers Try LA Bagels,0XnA_HjId1c,2015-09-01T19:00:01Z,3411,1614985,16448,1807,0.0113,473.46,4.82
This Oakland Catering Company Is Changing Lives Of Local Youths // Presented by BuzzFeed & Hyundai,UZH3jaaG_eM,2018-08-27T16:00:35Z,2320,483673,3346,121,0.0072,208.48,1.44
Why Do People Drink Coffee?,L2YNBuL1xb4,2015-12-12T01:00:00Z,3310,576062,8838,956,0.017,174.04,2.67
Does Filtered Vodka Taste Better?,eOmX2iK4uiw,2016-03-30T22:00:00Z,3200,1441556,19789,879,0.0143,450.49,6.18
How A Drug Helps Me Cope With My Kids' Suicides,Rux4d-32fUQ,2018-06-01T18:00:37Z,2407,2734083,93077,8090,0.037,1135.89,38.67
Which Disney Villain Are You?,KMU4lZlR2vU,2018-03-02T02:00:35Z,2499,478491,10203,452,0.0223,191.47,4.08
Lay’s New Flavors Taste Test,-hzbsdhpj18,2015-08-15T01:00:00Z,3429,4447303,43642,1920,0.0102,1296.97,12.73
Couple Lives In A Future House For A Week • Ned & Ariel,G8Nd7vu3jyk,2017-04-28T16:00:01Z,2806,7595428,110231,3131,0.0149,2706.85,39.28
I Only Made Gordon Ramsay Recipes For 24 Hours,09Jg0jcE8yI,2020-08-22T15:00:00Z,1594,1848161,60908,2075,0.0341,1159.45,38.21
The Evolution Of The Burrito,PID23RIy5PA,2014-07-01T00:30:02Z,3839,677027,8989,880,0.0146,176.36,2.34
I Tried To Make A Zero Waste Meal From The Dollar Store,_qqqn3bVA4A,2019-11-15T19:00:06Z,1875,469251,12352,558,0.0275,250.27,6.59
The Anxiety Of Getting Your Prescription Refilled,AQE6RnevEtU,2016-06-25T15:00:01Z,3113,1160261,34146,3048,0.0321,372.71,10.97
The Original Churro Ice Cream Sandwich,oAI6HIXNlnU,2015-08-17T20:30:01Z,3426,1020449,26427,775,0.0267,297.85,7.71
$3 Takeout Vs. $129 Takeout,SzOhHutFVKs,2020-05-17T15:00:25Z,1691,6039452,159959,4746,0.0273,3571.53,94.59
$5 Carrot Vs. $20 Carrot,f8BLlSvqrVc,2020-09-06T15:00:10Z,1579,2694744,66671,3166,0.0259,1706.61,42.22
Fast Food Employees Rate Each Other's Chicken Nuggets,gta3Fbtu_8s,2021-01-02T16:00:20Z,1461,367485,8111,1537,0.0263,251.53,5.55
$1 Savory Pie Vs. $55 Savory Pie,qvLVtsC-HTE,2020-11-08T16:00:19Z,1516,2525824,57450,2059,0.0236,1666.11,37.9
